time,X,Y
4.643038,1.2814941406,1
4.646549,2.5703735352,3
4.64656,2.8925933838,3
4.646571,2.2231483459,2
4.646585,2.0557870865,2
4.740473,2.7639467716,3
4.748505,2.9409866929,3
4.851148,2.9852466732,3
4.943517,2.9963116683,3
4.948232,2.9990779171,3
4.94854,2.2497694793,2
4.950272,2.0624423698,2
4.954496,2.0156105925,2
5.042961,2.0039026481,2
5.051044,2.750975662,3
5.14166,2.1877439155,2
5.157022,1.2969359789,1
5.2417,3.3242339947,4
5.246711,3.0810584987,3
5.250334,1.5202646247,1
5.343405,1.1300661562,1
5.351455,2.532516539,3
5.446275,5.1331291348,6
5.452703,2.7832822837,2
5.452768,1.4458205709,1
5.547557,4.1114551427,5
5.554323,4.7778637857,5
5.554337,4.9444659464,5
5.563232,4.2361164866,4
5.655208,1.8090291217,1
5.748319,2.7022572804,3
5.85386,3.6755643201,4
5.94199,4.66889108,5
5.942363,4.16722277,4
5.943364,3.2918056925,3
5.950408,1.5729514231,1
6.047633,4.8932378558,6
6.048638,2.7233094639,2
6.051505,2.930827366,3
6.141873,4.4827068415,5
6.153531,2.6206767104,2
6.24277,5.1551691776,6
6.34197,4.2887922944,4
6.456657,2.5721980736,2
6.553842,3.6430495184,4
6.64595,4.6607623796,5
6.842269,4.9151905949,5
6.843437,5.7287976487,6
6.94552,6.6821994122,7
6.95451,5.420549853,5
6.956433,4.3551374633,4
7.040589,3.3387843658,3
7.042967,3.0846960915,3
7.046929,2.2711740229,2
7.054688,2.0677935057,2
7.14042,2.7669483764,3
7.242074,4.4417370941,5
7.343777,1.8604342735,1
7.351641,1.2151085684,1
7.440816,2.5537771421,3
7.447592,2.8884442855,3
7.452259,1.4721110714,1
7.541073,3.3680277678,4
7.645754,1.592006942,1
7.650089,1.1480017355,1
7.754214,4.7870004339,6
7.754802,3.4467501085,3
7.843445,1.6116875271,1
7.853903,1.9029218818,2
7.941636,3.4757304704,4
7.948263,3.1189326176,3
7.948297,3.0297331544,3
7.948307,3.0074332886,3
7.948316,3.0018583222,3
7.948324,3.0004645805,3
7.948331,3.0001161451,3
7.948339,3.0000290363,3
7.948347,3.0000072591,3
7.948356,2.2500018148,2
7.948366,2.0625004537,2
7.948377,2.0156251134,2
7.948388,2.0039062784,2
7.9484,2.0009765696,2
7.948411,2.0002441424,2
7.948421,2.0000610356,2
7.948432,2.0000152589,2
7.948443,2.0000038147,2
7.948474,1.2500009537,1
7.948487,1.0625002384,1
7.948499,1.0156250596,1
7.94922,1.0039062649,1
7.949265,1.0009765662,1
8.142882,2.5002441416,3
8.152699,3.6250610354,4
8.154556,1.6562652588,1
8.349584,1.1640663147,1
8.352139,1.7910165787,2
8.448445,1.9477541447,2
8.45306,3.4869385362,4
8.543349,3.121734634,3
8.548676,3.7804336585,4
8.548738,3.9451084146,4
8.552441,2.4862771037,2
8.642364,4.3715692759,5
8.742735,4.092892319,4
8.749857,5.5232230797,6
8.848391,2.8808057699,2
8.942158,4.4702014425,5
8.94496,2.6175503606,2
9.041777,3.6543875902,4
9.050436,2.4135968975,2
9.242854,5.1033992244,6
9.246343,3.5258498061,3
9.247432,3.1314624515,3
9.249705,2.2828656129,2
9.255548,1.3207164032,1
9.44089,1.8301791008,2
9.442557,1.9575447752,2
9.53988,2.7393861938,3
9.553593,2.1848465485,2
9.64726,2.7962116371,3
9.652764,2.1990529093,2
9.749331,2.0497632273,2
9.84462,3.5124408068,4
9.946418,5.3781102017,6
10.250494,3.5945275504,3
10.253798,2.3986318876,2
10.254205,1.3496579719,1
10.342456,3.337414493,4
10.444177,6.0843536232,7
10.647612,3.7710884058,3
10.647628,3.1927721015,3
10.647655,3.0481930254,3
10.647665,3.0120482563,3
10.647673,3.0030120641,3
10.647681,3.000753016,3
10.647689,3.000188254,3
10.647698,3.0000470635,3
10.647707,3.0000117659,3
10.647715,3.0000029415,3
10.647723,3.0000007354,3
10.647731,2.2500001838,2
10.647739,2.062500046,2
10.647746,2.0156250115,2
10.647755,2.0039062529,2
10.647762,2.0009765632,2
10.64777,2.0002441408,2
10.647778,2.0000610352,2
10.647805,2.0000152588,2
10.64784,2.0000038147,2
10.647853,2.0000009537,2
10.647863,1.2500002384,1
10.647874,1.0625000596,1
10.647884,1.0156250149,1
10.647893,1.0039062537,1
10.647953,1.0009765634,1
10.647969,1.0002441409,1
10.647984,1.0000610352,1
10.647996,1.0000152588,1
10.648008,1.0000038147,1
10.648019,1.0000009537,1
10.649068,1.7500002384,2
10.649081,1.9375000596,2
10.649094,1.9843750149,2
10.649109,1.9960937537,2
10.649126,1.2490234384,1
10.649143,1.0622558596,1
10.64916,1.0155639649,1
10.64918,1.0038909912,1
10.649242,1.0009727478,1
10.649523,1.000243187,1
10.742391,1.7500607967,2
10.752329,1.1875151992,1
10.753295,1.0468787998,1
10.841844,1.0117196999,1
10.850371,2.502929925,3
11.053869,2.8757324812,3
11.140157,1.4689331203,1
11.148061,1.8672332801,2
11.149674,1.96680832,2
11.149815,1.24170208,1
11.154916,1.81042552,2
11.241152,1.20260638,1
11.244767,2.550651595,3
11.350177,1.3876628988,1
11.544527,2.5969157247,3
11.641777,2.1492289312,2
11.650455,2.0373072328,2
11.650468,2.0093268082,2
11.650476,2.002331702,2
11.741457,2.7505829255,3
11.841688,3.6876457314,4
12.121316,0.9219114328,0
